sample-id 	forward-absolute-filepath	reverse-absolute-filepath
SRR6000872	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000872_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000872_2.fastq
SRR6000875	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000875_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000875_2.fastq
SRR6000876	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000876_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000876_2.fastq
SRR6000880	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000880_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000880_2.fastq
SRR6000881	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000881_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000881_2.fastq
SRR6000882	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000882_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000882_2.fastq
SRR6000883	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000883_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000883_2.fastq
SRR6000884	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000884_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000884_2.fastq
SRR6000885	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000885_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000885_2.fastq
SRR6000886	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000886_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000886_2.fastq
SRR6000887	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000887_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000887_2.fastq
SRR6000889	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000889_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000889_2.fastq
SRR6000897	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000897_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000897_2.fastq
SRR6000898	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000898_1.fastq	/home/kholoudmamdouh/16s_analysis/Homo_data/SRR6000898_2.fastq
