sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
SRR6000872	24074	23960	99.53	23735	23628	98.15
SRR6000875	29289	29014	99.06	28693	28098	95.93
SRR6000876	27532	27326	99.25	27112	26546	96.42
SRR6000880	22892	22752	99.39	22656	21533	94.06
SRR6000881	27802	27527	99.01	27285	27101	97.48
SRR6000882	34464	34150	99.09	33833	33466	97.1
SRR6000883	29240	28994	99.16	28693	28267	96.67
SRR6000884	27881	27627	99.09	27413	27127	97.3
SRR6000885	30424	30112	98.97	29725	29321	96.37
SRR6000886	30245	29892	98.83	29640	26287	86.91
SRR6000887	21091	20890	99.05	20696	20545	97.41
SRR6000889	28633	28386	99.14	28079	28063	98.01
SRR6000897	28844	28500	98.81	28202	27851	96.56
SRR6000898	14166	14134	99.77	14025	14006	98.87
SRR6000904	28139	27864	99.02	27579	27090	96.27
SRR6000913	24925	24726	99.2	24493	24066	96.55
SRR6000914	30699	30409	99.06	30058	29715	96.79
SRR6000915	21427	21319	99.5	21140	20720	96.7
SRR6000917	20725	20571	99.26	20319	20048	96.73
SRR6000918	25838	25598	99.07	25346	25050	96.95
SRR6000919	25260	24910	98.61	24657	24587	97.34
SRR6000922	28580	28231	98.78	27836	27517	96.28
SRR6000923	15393	15327	99.57	15214	14599	94.84
SRR6000924	28320	28078	99.15	27824	26904	95
SRR6000925	30078	29758	98.94	29456	29170	96.98
SRR6000926	24712	24509	99.18	24204	23829	96.43
SRR6000927	17986	17935	99.72	17816	17569	97.68
SRR6000929	23619	23412	99.12	23301	22883	96.88
SRR6000930	25959	25784	99.33	25556	25280	97.38
SRR6000933	22084	21832	98.86	21622	21162	95.83
SRR6000934	27398	27143	99.07	26919	26584	97.03
SRR6000935	14020	13926	99.33	13830	13632	97.23
SRR6000936	19451	19312	99.29	19209	17699	90.99
SRR6000937	23268	23012	98.9	22742	22655	97.37
SRR6000938	27916	27680	99.15	27379	27071	96.97
SRR6000939	22171	22003	99.24	21768	21652	97.66
SRR6000941	23703	23421	98.81	23098	22840	96.36
SRR6000948	22348	22200	99.34	21996	21879	97.9
SRR6159088	83135	82676	99.45	82389	80204	96.47
