Sample ID,Feature Count
SRR6000882,33310
SRR6000916,30424
SRR6000888,29819
SRR6000914,29762
SRR6000885,29505
SRR6000925,29423
SRR6000883,28364
SRR6000875,28203
SRR6000889,28164
SRR6000897,27986
SRR6000922,27647
SRR6000904,27289
SRR6000884,27244
SRR6000881,27185
SRR6000924,26977
SRR6000938,26826
SRR6000934,26731
SRR6000876,26657
SRR6000886,26400
SRR6000930,25330
SRR6000918,25140
SRR6000919,24757
SRR6000913,24244
SRR6000926,23941
SRR6000872,23704
SRR6000941,23084
SRR6000929,22964
SRR6000937,22799
SRR6000948,21983
SRR6000880,21537
SRR6000933,21077
SRR6000939,20945
SRR6000915,20790
SRR6000887,20612
SRR6000917,20190
SRR6000936,17763
SRR6000927,17675
SRR6000923,14702
SRR6000898,14040
SRR6000935,13680
