,Frequency,# of Samples Observed In
4b5eeb300368260019c1fbc7a3c718fc,"104,544",31
0305a4993ecf2d8ef4149fdfc7592603,"63,611",30
868528ca947bc57b69ffdf83e6b73bae,"52,111",20
154709e160e8cada6bfb21115acc80f5,"41,104",38
9118606a87ac19f8d041da20f16f3236,"24,042",31
2bc794a195ccb3f80f49f5c8545dfb53,"23,216",32
f8f937eeee7762f446a0e87292f98eb6,"22,335",28
79e9e337b10e2d298bb1b3bde946782d,"20,273",30
535696cecf56f03d3401d7d6dbe66d7b,"20,247",29
44ff26d8105cf822417b4b0c4eb27c02,"19,626",30
bfbed36e63b69fec4627424163d20118,"19,444",33
cdd14cce4ec44b3235923652b71e947e,"13,564",12
41fedaa9200e2933821f84ecdc0b0772,"13,235",36
0160e14a78b18b903618f11bc732746e,"13,140",24
c8a263244e43cfd3445b822aa78a1011,"12,956",26
3769253c45f898cc19d27c317dbd5616,"11,644",9
ab6b063ed43d8cb3008e157a0a305c47,"11,401",24
4e791b0017d210668ffe94918d9afed4,"11,057",21
de2b74b8890d40f4462c2a39ba26c418,"10,007",26
75e8e3149c0eac3b7cd65ed7fb07ea51,"9,761",19
f59a4d48a03cc224462bf83e4d4ab126,"9,383",20
41d2d87cdcbd18cf8055c3cdb88d98f1,"8,763",6
b44621e5c80607cdfacbf7a81e1cbe41,"8,400",34
ee0fb26fca3afb05e0b288d6fcab899e,"8,093",15
6a1e8164bf2df186a2107a2f0c6bc6ec,"7,457",6
3982159c2603cacc4bc4893003bda323,"7,282",4
d18ba88a44e9920c10c20fb09b133dce,"6,413",4
41f2fce8d5ebdd313900c9b16a533108,"5,867",10
d781fa7e866ac295ce9a56bd97912983,"5,537",23
d86ef5d6394f5dbeb945f39aa25e7426,"5,325",23
c04b03fdea7f81c8c52fc540c50a24a4,"5,189",33
ae881162d813e498f40bf33b8e42d54a,"5,093",20
0c4b17f88dae47697d3bceb3663f47ce,"5,012",33
1f0a072da4906270a684a389c1586582,"5,005",26
92fe248200f136a33673e61cff0b2461,"4,796",8
052128d7d424728578efe7852b0afd0d,"4,626",31
a4c08e2c3a34038ea877b16d01736837,"4,447",26
aee707afe3847427a6d3d34e31437923,"4,343",17
393e6e2cbe258ed27a4ca0a2ee0d2cdc,"4,330",28
725701177603db7c0365cb72f504d4b4,"4,281",27
90d32ffe026535b392c0bad850f213c4,"4,201",20
0a69950e803a5d9e7166c450e44f43cf,"4,129",26
fb07069b40b4a9c76110ca08375a29ba,"4,100",19
59fefb91cc66ef6930b0201e4bf24cbb,"4,098",13
acfe4c003905a7074aeaf385b78ad9e0,"4,033",20
3b795f0122b28b0e6a07bec73894acee,"3,981",12
7fee9350277038eef98dee70b4190563,"3,663",21
2b148d88c49e316f85b6e7863089a886,"3,660",23
265b3906c979e85ab69f8fa414a10646,"3,644",21
9b62995e96fda3f88d7ad6fb183939d5,"3,561",22
f981fd696e8d518b6ad930626f976618,"3,549",23
63e29d89c820b4baafc3f5622946d6ee,"3,427",1
a3a07c53adbdf8e5fd7242899b2780a0,"3,304",6
d2613a43f4ed1dda8a673e7fb251ebef,"3,243",21
b8b19c4f0719a5d5b965a0f50f05827c,"3,217",22
cba5f5b1153235425628bd77a28257c7,"3,186",31
29f7a9fc9689ce3212644f0d5e19c44f,"3,094",3
bb173654871d294466912ef22f685faa,"3,057",10
c915eeb783ee6d5c8e917ff5934f4e10,"2,951",7
01e0b7ac306895be84179f2715af269b,"2,903",17
93dbc367e2eb343c57568c0de5ce492c,"2,853",4
7a20f7055ca2c7462cfa6a7aef16ec28,"2,827",7
a1b971c01ce0b220275c218adbe717c1,"2,813",35
edcd08274206e5737b5898191e95bf9b,"2,800",12
b9e8f0a95b7ddb4f0597429a04dcdc19,"2,783",5
699071a4a7ce68918e4cd93a61275ecd,"2,615",14
3adba377bf51cc6284b4f8291b3dd318,"2,611",2
6aa22a42a3d7906af8a3c5bf6370d6ef,"2,523",24
155c05649150f44eb96ae7a6f6d928b6,"2,506",20
62f7636a15b37489ce25ba32578bdc10,"2,462",21
f3194c2eb241f821239009ca55dbb30c,"2,453",1
8f0a7d866b4e5ebf1e34d0a44eb950a4,"2,408",17
ee592c19d81bad3de864ce4f2c334902,"2,362",7
fea5c05e9b8245c5ca46f6673f59e0bf,"2,348",32
b00d44992702bd3743d7f353638d42f9,"2,320",27
49aa436afb668bd62899a1e3e5893a41,"2,297",8
bb370945a6777f712cfd963c55f2ff54,"2,295",27
49ea1148e38d2ef99c03949136cb5bc9,"2,262",9
9e1c6b703a4312cce306c7757688a351,"2,227",25
816b94bcd935ca38afe71fd1e3c5356c,"2,209",20
83b11de4318b02c2e01bbd0146907514,"2,197",15
ca79c197c90ff9491b2b886a810e9296,"2,195",20
1d17561d16d803f652b0d6bdd671c1cc,"2,129",25
880968796af86b3d6270c228fe8e7026,"2,109",10
ced140ebd498ea4d3df1aad464c478e9,"2,068",4
5db87e32b660b7e501a143159b179ff8,"2,034",20
e063d1c3c9daf7390e5475e48d9b01c5,"2,027",14
dd29d5734196dc92232bafc6fef0c2a1,"2,024",10
64222ae4c3f0f1cc06375a3814da355d,"2,010",12
32875774cffdc8c820f91d8e86f9a0e6,"1,983",15
823698689031b0b9c2c5152f92ffc70f,"1,977",12
cf6679308c719f0acae553c645fc9beb,"1,922",5
b92e89d105e0a6e09e5984879c4c7809,"1,861",1
c8534dd3da1e5a3b25730b64067150d0,"1,784",2
f16a387e898dbae6432b2ed0241120bd,"1,740",8
0741ae033054073fece98b9948ec4387,"1,706",22
419b7876de7a4c8237d61c5e434432e6,"1,665",1
15642f35883c83d2d6737e5b27939497,"1,662",10
97eed9c6e2ca12ebe4e51ef7dd288730,"1,657",1
9c8c859cd4fb637765e3a24c224535a3,"1,645",17
104cff7c32741b38a7c89d954d4eb8d3,"1,642",9
71fa1722365d52769d5d11529fabd7be,"1,621",3
b0f7f1b13fa94991ab5378bd74d8ce1c,"1,620",9
c0ec9b425614614ead8ba36d49b212b8,"1,596",3
1575e4b55b40f18f6aa70079b4f1cf2f,"1,590",3
b815913c61abb4a540babe5c3fae17e7,"1,582",17
3ae3e825c5e3862af6c17798e2b40a37,"1,564",5
24dfe6a7325e4f2be7dbd522ef613e42,"1,536",18
29a92aecac56c855cbfc0debf9bda0c8,"1,503",23
94c5ef91431ab9b4fff66c9c1e84b919,"1,501",2
9e3a1ffafe7d38bb1d2e863fed3156a7,"1,463",4
64bea8b4a518443365dfe6907a1aa9bb,"1,443",5
5437cb1c86c72638cbbc12896f88d1b1,"1,416",12
4bc9d73405700ccc41d82dd3dce45bc9,"1,415",19
2e55763e77234a7bfc3a311067a0c7e1,"1,404",17
94ca1389331a3a9230237844cfd545f6,"1,396",7
9c6b4f83513e63a49ce33a8aeb1813ad,"1,392",22
eec5fad9f9f90c2052e346cca3f553f7,"1,380",1
dd9d9aad1de9345686f5cc614c5616db,"1,341",7
9dc8ab2804c20d9b777fb4d03267664f,"1,290",9
9eed913d18571644cd5d0e4b002c7a73,"1,280",14
95755a716560fdb802c11f4db63bf62d,"1,207",28
19ea8fd5aafc30606c464efc3419e5ce,"1,200",10
245178d23af8d8cbae4d4e3e7621a160,"1,188",6
87899779aec8d38dfaf48d895cfe8021,"1,161",12
0847f74b1df2cf9b558a1b421d87fb85,"1,159",15
e1d70dd0e085b3aa9c02a17106a40328,"1,154",1
136e9f5aa470119165e59d202fdb318c,"1,150",20
8163d49042bbad8871a7aab8527c9a97,"1,142",24
5ed3286277ae7a7e78d54d53193d4e2e,"1,122",1
f4a6ece1d07244e26737262a4e3ada06,"1,120",13
5df503c1ddf8f3f4ac9e49e983e3d7fd,"1,103",12
e43990d216e916faf90d8c22429418ad,"1,047",23
86ecf5fdfcc9d5b4388556058f0f1df5,"1,038",6
0f55566622d8244073432b2e67b24baa,"1,021",19
ac90ac09286fc7803758751f3c1d8cc7,963,2
c7ec57695a6d83b461eba523752755ec,960,17
e955bf21b739f89bf2d58f941b57ef24,952,1
56069906ddf132f7d2f645ee74b03568,945,1
f023384b8f989d014dd2ead7f10db307,938,3
26133b4163fdcd22d86f4e04e74154f1,936,16
c8cf30d8fcbdd8f67495eb1c013895d2,915,4
5c541619c0a084c6609e071895d9de55,896,8
a5df9a825c3d8eeb228a6781c3db134c,894,22
c2cf7062f6148ce018dfe4818b4a9043,881,17
c1ccebcca099b11c2b153f9f29cc927b,868,9
7fbb3b03f5cd91fdd1273d6a1d1faa8e,868,4
b8817857eacc4c57ffdaa9e0fa827a18,864,6
fb10ecc69223c9b87402d0c62443b41c,850,7
c5f9b3424063f4661b91e1f5d366d106,833,6
0b997a701f9f0c080ba9d77ee7b16b74,821,13
cb62a4d6222171d4c9b8b0b1de7662bf,821,2
0b5e7496fb606c7692d1467cf1c5b606,818,4
30faafef155964edd9db9374f36c45bf,810,14
956d0a6f5a8e1d2fbb39df909cc14894,805,13
3111520c8424a2a5bdd46558ae7650e8,802,14
2d3952bbce632221eb8fe711301f8a7f,784,1
84dfcf63b954de547792fd7c08224863,778,2
3d6f762d8cda1915ad93d014e391c118,770,3
61cb4302d335a976ab3a7d6174107a76,753,1
c41cb0bdfca96df418d4c41d5800c2f3,736,12
ad455c071ee9c40068a418ad6b0cf45b,736,8
ca641b1df54a4bf2083e50cd45dee950,725,8
7a5d5e6f85da7ca91daa2d803e8f9279,721,4
75280d57efa4652f09b94718ee7c8f35,714,2
1bf9d2a8158ed64e5ad0d650cc8e6e43,708,2
84755bc954af6d3b39bb4c369e5992e7,704,11
a29da9b740fcd1afc148247e38b10b03,703,4
43512a0fd36c07d6e399a2b81d936212,698,2
67f9c74eeea5a4609bd1d2fab66ad3cc,693,13
3af9aa72b9f1559e908cf273c90287b4,693,2
513de43781dc4c2831eb83b23940d66b,692,3
4d24ec729948811a693b8df48be743d1,690,20
1e5397e363eada4037623556442aebcb,685,13
e50cb08cdaf0bf66a982630eb438a8dc,672,1
0c4aa98a524029245463d479af14357d,659,1
ff3de737f93b5a25f8a7f3d46e811825,656,6
34ff253cef3eb3010cba579a8c196783,654,4
ad8663cf43e2f46b4bb267191ac4adaa,651,6
a4c27a77559e7b92301132ade36ccb8d,648,27
fa0d9d235c64b0491cf0dcc19e55b6cd,647,3
f1d63da515a0c96eb9f7af5de75655bb,645,11
9ecda5d33e27c149a40d42d6a84d0a3a,640,9
fcfcb4204f09e8a9e9873827a05c9a34,637,18
eb49475f058cabcee601073f0da65a97,634,1
f0555e56e6805983fc8c753061480ee2,634,3
88e06a6c4fd6a4df39523abd73d71247,634,3
f4eefbd4edf2a372131825289fffcca6,632,6
f6107747e342875ae8dc60e6fb34b421,630,5
74f76a680c3f0422cb2312a3826d833f,630,3
00a7a95dba414b83bf20dea8947e160d,630,1
4738be7d8c45e8c46254d050679f3d34,626,7
3597a2689efaf5525ce460494a8ac383,616,10
5decdad9c550489629ce441d32a69a1c,614,6
e9789fd6c378cece5d4e009bb42c985a,608,13
c5e51b54657b4087777c84c1fe81cb25,601,10
e6acdc137399e401b548d7f379af59c8,594,3
55937e5781c91185e27a91216008e4ca,589,10
b8b4e8e1275406b0d383bd1339ba008f,585,22
88ab8312a1140d027d6b0836c603b291,583,3
fc1f49989e78fa71bc6404ff2a148576,562,10
0f881c4280fc9bc25789db570c6953fa,550,7
71ac23a4e86dc4bda600f5cd6ff0e985,546,19
74c2326ccd0bc2bd9e0f23f15b79ea16,543,8
beb16aa26f8441a5d3ec6246e8e1f2f4,538,11
487e50d33ab9f8d4b7c1a8bf6c6c21f9,537,6
53cf3b817492c1893be59208c0e3b916,537,1
8b5fee257369c31a18926c1f40a8f8ec,534,13
d72658480cb7ff1bf9ef2323352f701b,529,2
b2d056fa113334bd2797397b162c6ac9,529,13
5b0d05bbabfe1b60b77dd4430eaebb1c,529,12
0ecdd9836328e85638296341395c5e8c,528,1
412d6626d38410f44e40f9b686e0d83f,523,9
6930dbee65d14f114323f50822f8cd3d,517,27
d51cd90e95b57acb614698dc580759fb,517,14
fb4f7d9d3f91ac2f22a542fbd13019c1,510,8
223141c110542072770a404bd96fcbc7,509,6
d8db52dac1023a8fa0e56e92670d7ac1,502,5
a0556fe2daec24774a52f3eb2ce640ff,491,2
ce5a9464c7afa3c2b0f4b6c6f7b8e49d,482,1
28ce6cea0d97267bfc9da321ddf36420,473,19
85a7d5399dae8e8a6086ff67f9b3d273,465,4
7e4d5b19d3213719048fe55dfad0da3a,458,7
6372f8363ffd11175e6f0f0b9788d630,454,12
3954ee3d59b90dd9883117947da08673,454,2
ffe78950b16cb81674e97fb6c48674da,454,3
8dca8e3ad38315877ff198e9f9c3e3be,453,1
7f0541f9fa673ea253cc6ffdc82275d9,452,1
0dfff0b1a35f915c2b6811d8bd11b6c5,450,9
3add7df323955b22d1cea664ef38165d,445,7
a18690005298e5e6624cd4bf563d4b48,442,1
33176e81f3e7ef2b9de1b783ff1ca33c,438,24
edacf632dcadc21c328669befafe2af6,437,10
5cb6f9a74015e3da39a9609e96e37ebf,436,2
047b7fb62a5e9d2711e639ae1cb1519a,429,14
81462c11a4da3610a633605788dc213f,425,2
aed55e21a8ab7b33d80aac2beed3aaa8,420,2
1f01bb6f15cf85420688b481c89042b4,419,5
796c74bb55117ef6c63d18df09241038,416,1
71652982f3d276ab8255d249a5bc3ab4,415,1
800a4734cd0d7ce4e7e6a5b94935d422,412,2
53bb77e358ecb4c43902f071bcc3729a,406,6
728a71f761e0b63d5c70226ee7a14109,401,1
c02f02d9156173a717ba5acc65d9bc3a,399,10
1d2e5f3444ca750c85302ceee2473331,398,18
e387de878ce32358cb95fe4597c44c25,396,2
41196521daf332caf4d69afa617b155f,396,2
467e6076c7e1448aa54cdd035cd2da5e,394,1
160f85c7cb184e6a60645a23f1c615b1,389,19
eb06ad5a9cb6d5a5e46c4e0d9f364c74,388,4
34e40677eda6fb724e9323b0835d5ab0,387,4
9f80e84bb24b914053824a9d300dc4d8,385,3
