,0
SRR6000882,33310.0
SRR6000916,30424.0
SRR6000888,29819.0
SRR6000914,29762.0
SRR6000885,29505.0
SRR6000925,29423.0
SRR6000883,28364.0
SRR6000875,28203.0
SRR6000889,28164.0
SRR6000897,27986.0
SRR6000922,27647.0
SRR6000904,27289.0
SRR6000884,27244.0
SRR6000881,27185.0
SRR6000924,26977.0
SRR6000938,26826.0
SRR6000934,26731.0
SRR6000876,26657.0
SRR6000886,26400.0
SRR6000930,25330.0
SRR6000918,25140.0
SRR6000919,24757.0
SRR6000913,24244.0
SRR6000926,23941.0
SRR6000872,23704.0
SRR6000941,23084.0
SRR6000929,22964.0
SRR6000937,22799.0
SRR6000948,21983.0
SRR6000880,21537.0
SRR6000933,21077.0
SRR6000939,20945.0
SRR6000915,20790.0
SRR6000887,20612.0
SRR6000917,20190.0
SRR6000936,17763.0
SRR6000927,17675.0
SRR6000923,14702.0
SRR6000898,14040.0
SRR6000935,13680.0
